psnrs,iters
14.626817,0
13.393539,1
14.933101,2
15.425207,3
13.53504,4
14.3711,5
15.208488,6
14.649879,7
14.249606,8
14.630253,9
14.018559,10
15.389806,11
14.796593,12
14.51272,13
15.153305,14
14.424363,15
14.241676,16
14.728342,17
14.809255,18
14.973171,19
15.326577,20
14.930492,21
14.956783,22
14.878288,23
14.828109,24
15.201535,25
14.365824,26
16.791857,27
15.176989,28
14.223902,29
14.394809,30
15.899962,31
15.410288,32
15.051764,33
15.575436,34
15.364418,35
15.547989,36
14.7538805,37
15.960341,38
14.900444,39
15.977854,40
15.164119,41
17.086542,42
16.001411,43
15.479988,44
15.782087,45
16.06573,46
16.108063,47
16.23969,48
16.343426,49
15.531166,50
15.615153,51
15.576228,52
15.93197,53
17.2987,54
16.006046,55
16.1039,56
16.559528,57
15.840851,58
15.7098255,59
15.909069,60
15.639758,61
17.68267,62
16.900118,63
16.800585,64
15.848221,65
17.616518,66
16.359385,67
16.451189,68
17.589153,69
16.322443,70
16.585209,71
16.321419,72
15.71005,73
18.125374,74
16.907455,75
15.496073,76
16.080326,77
16.556408,78
17.314684,79
17.039087,80
16.458183,81
16.913069,82
16.855488,83
16.475218,84
16.741385,85
19.070812,86
17.421495,87
17.293112,88
16.532436,89
16.811605,90
17.3794,91
16.962614,92
17.865158,93
19.032448,94
16.443222,95
16.648037,96
16.591389,97
18.418375,98
17.31255,99
18.96039,100
17.733559,101
17.348705,102
15.840338,103
18.902782,104
18.445957,105
17.783407,106
16.933496,107
16.558157,108
17.44617,109
16.874598,110
17.779753,111
16.695621,112
17.194248,113
16.356632,114
18.036705,115
17.88532,116
17.549713,117
15.882415,118
17.80616,119
17.740147,120
17.929111,121
17.422653,122
17.359232,123
17.208855,124
18.062817,125
17.312515,126
15.963235,127
17.802284,128
18.21679,129
17.521925,130
17.159185,131
17.998253,132
17.891926,133
17.705837,134
17.186266,135
18.51343,136
18.048393,137
18.221039,138
16.732328,139
16.692898,140
17.791203,141
17.763905,142
18.043867,143
17.403278,144
17.38926,145
18.04586,146
17.97462,147
18.095394,148
17.271273,149
18.990704,150
17.271944,151
16.806658,152
18.088427,153
18.309565,154
18.96582,155
17.535223,156
18.614489,157
19.775156,158
18.824286,159
17.89673,160
17.628992,161
17.322792,162
18.564201,163
19.214247,164
17.764572,165
17.708475,166
18.009335,167
17.66747,168
16.649467,169
19.34095,170
17.916958,171
17.906826,172
19.114828,173
18.249147,174
18.819353,175
16.224802,176
18.033802,177
19.132153,178
18.211157,179
18.260754,180
16.409319,181
18.842337,182
18.260876,183
19.595812,184
16.237782,185
19.269718,186
19.145098,187
17.32698,188
17.999187,189
17.191284,190
21.084917,191
17.345253,192
17.887474,193
17.131933,194
19.546124,195
19.110424,196
18.016527,197
17.612347,198
19.472958,199
18.894321,200
17.703753,201
18.473904,202
17.114485,203
17.558058,204
19.16042,205
17.62506,206
18.251177,207
17.789824,208
19.836834,209
20.560406,210
18.107962,211
17.693386,212
19.322803,213
18.550293,214
19.562548,215
21.149847,216
17.829098,217
18.78214,218
19.742502,219
18.981855,220
19.196583,221
18.56319,222
20.285501,223
17.788784,224
19.718548,225
19.228693,226
18.083693,227
19.181429,228
20.59238,229
18.293648,230
17.039474,231
18.959507,232
19.157532,233
20.005291,234
18.45811,235
19.797514,236
20.04317,237
17.81592,238
19.599731,239
19.777878,240
17.665012,241
18.725988,242
18.007141,243
17.880342,244
19.701784,245
18.2288,246
19.340801,247
20.294687,248
18.129803,249
17.630802,250
19.185892,251
20.896511,252
20.437737,253
18.981821,254
18.832848,255
19.01389,256
19.105797,257
19.723259,258
18.727741,259
18.756836,260
20.936073,261
19.141958,262
18.443993,263
22.023148,264
17.99188,265
19.667038,266
19.792269,267
21.306652,268
20.454054,269
19.601791,270
19.615204,271
18.753057,272
17.601665,273
20.021927,274
16.630041,275
18.582186,276
18.119904,277
17.977684,278
16.826921,279
18.3019,280
18.24786,281
21.063316,282
17.981016,283
18.432838,284
19.490244,285
20.301943,286
19.085754,287
17.68052,288
17.112947,289
18.697575,290
20.204578,291
19.513865,292
19.763727,293
18.737,294
20.10431,295
18.922907,296
18.716124,297
19.39384,298
20.031307,299
20.377728,300
17.713995,301
18.371904,302
19.30237,303
20.327396,304
18.548653,305
19.00473,306
18.916924,307
18.13198,308
19.768745,309
17.868507,310
19.74179,311
19.081936,312
21.845783,313
18.133814,314
18.56241,315
19.605297,316
20.485752,317
18.59608,318
21.091108,319
20.483892,320
19.258656,321
19.159687,322
21.16705,323
19.493036,324
18.48699,325
18.31959,326
18.999763,327
20.688381,328
18.828512,329
19.69413,330
19.215755,331
19.542706,332
19.239119,333
20.650389,334
18.945518,335
20.834473,336
20.381886,337
20.052881,338
20.982174,339
21.180048,340
19.169199,341
18.576084,342
18.688225,343
20.763502,344
18.69239,345
17.115414,346
19.709501,347
19.013859,348
19.617365,349
19.464214,350
19.479563,351
18.447878,352
19.084398,353
22.134323,354
18.120718,355
18.858116,356
19.57851,357
17.193401,358
19.297806,359
19.823181,360
21.382092,361
20.078316,362
19.141167,363
20.19791,364
19.990704,365
18.668682,366
19.019945,367
18.635748,368
19.926434,369
21.56712,370
19.101292,371
19.890318,372
19.573505,373
19.04011,374
19.089762,375
18.605371,376
18.852816,377
19.99827,378
20.412886,379
21.001354,380
19.194607,381
17.948654,382
18.607302,383
18.230558,384
19.864517,385
20.825575,386
18.493473,387
19.39953,388
20.526978,389
19.821545,390
19.817316,391
20.473175,392
19.065254,393
21.143322,394
19.551308,395
19.081886,396
19.630043,397
19.641697,398
19.80318,399
19.537289,400
20.132486,401
20.113947,402
21.125698,403
20.890272,404
18.032745,405
18.393547,406
19.635456,407
19.926138,408
19.407179,409
18.821009,410
21.011553,411
19.858202,412
20.046871,413
19.214466,414
19.24802,415
18.971746,416
19.928854,417
20.1676,418
18.723196,419
21.85627,420
20.688257,421
19.490807,422
18.652628,423
18.378092,424
19.489822,425
18.040073,426
20.199518,427
20.521662,428
19.235256,429
18.879921,430
20.055218,431
19.678743,432
20.763462,433
20.270344,434
21.805637,435
18.837837,436
20.063734,437
18.987524,438
20.730028,439
19.75277,440
19.115772,441
18.672453,442
18.98643,443
20.38084,444
18.786798,445
20.109127,446
18.617456,447
23.42185,448
18.909294,449
20.453934,450
20.154097,451
18.63362,452
20.47314,453
18.983639,454
18.745026,455
20.92334,456
19.481625,457
19.875694,458
19.363337,459
19.73961,460
20.806868,461
20.67102,462
19.771465,463
18.71812,464
19.390913,465
19.483255,466
21.229279,467
19.289078,468
21.09451,469
19.937666,470
19.21982,471
20.993767,472
19.55535,473
20.151262,474
21.40375,475
18.598833,476
20.673504,477
18.463158,478
20.171253,479
20.721882,480
19.600018,481
20.094755,482
20.153507,483
20.201206,484
20.90646,485
19.015835,486
19.929195,487
22.02393,488
20.819916,489
20.201141,490
20.920254,491
18.802982,492
20.69373,493
19.718414,494
19.998941,495
20.385618,496
22.72022,497
18.719307,498
19.014406,499
20.064686,500
20.066214,501
21.619968,502
18.778913,503
22.290272,504
20.4807,505
20.488178,506
19.201315,507
19.552765,508
19.260893,509
20.412132,510
21.0253,511
20.415901,512
20.87181,513
19.20667,514
19.819288,515
19.359886,516
17.99724,517
18.869608,518
20.890522,519
20.186872,520
20.925062,521
18.980549,522
19.729137,523
20.15172,524
19.693102,525
21.286697,526
23.140614,527
20.899899,528
19.135992,529
19.305824,530
20.82817,531
19.447798,532
21.38632,533
17.790352,534
19.529497,535
19.178904,536
21.765606,537
21.884014,538
19.82049,539
16.823631,540
18.237377,541
21.33065,542
19.40612,543
22.18901,544
20.244884,545
20.284515,546
19.651123,547
20.089863,548
20.606476,549
19.112284,550
20.55719,551
19.017159,552
20.97002,553
19.004574,554
19.854542,555
19.62569,556
19.388453,557
20.81458,558
20.532734,559
18.503227,560
19.760248,561
21.51023,562
20.56795,563
21.629032,564
20.021976,565
20.304554,566
20.389755,567
21.015709,568
19.780493,569
19.30098,570
19.885849,571
20.213833,572
20.452631,573
19.757446,574
19.93265,575
19.51923,576
20.24464,577
19.057262,578
21.128391,579
19.5819,580
20.026161,581
19.445263,582
18.973406,583
20.676271,584
22.287148,585
19.105286,586
20.071028,587
20.417938,588
19.75167,589
19.611094,590
19.077328,591
19.295004,592
22.103529,593
19.830702,594
19.479002,595
20.396172,596
20.07863,597
19.664858,598
20.407755,599
21.322392,600
20.699656,601
19.846388,602
18.36943,603
18.547604,604
20.053938,605
19.209906,606
19.308826,607
18.48761,608
18.876492,609
21.447788,610
19.507048,611
19.622215,612
19.555895,613
20.218239,614
19.933563,615
22.090551,616
20.163145,617
21.85977,618
19.87355,619
20.225037,620
19.447401,621
21.149885,622
20.838886,623
19.857824,624
22.397558,625
19.387321,626
19.300064,627
20.249874,628
20.045105,629
19.773767,630
19.502245,631
19.295614,632
19.957596,633
21.21838,634
21.426502,635
19.652159,636
20.886875,637
