psnrs,iters
32.845013,0
32.35763,1
32.38894,2
34.651573,3
34.350983,4
31.485016,5
30.995605,6
32.509537,7
33.76083,8
32.177555,9
32.82733,10
34.20097,11
31.62336,12
33.46431,13
33.10993,14
33.718254,15
33.043888,16
33.081802,17
32.144646,18
33.79227,19
32.880646,20
33.240467,21
34.052948,22
34.001705,23
33.965187,24
30.830177,25
34.37554,26
33.11051,27
32.77968,28
33.18482,29
33.79006,30
32.883038,31
32.860985,32
33.774033,33
32.95634,34
33.248756,35
32.64629,36
34.531994,37
33.899536,38
32.752335,39
34.648304,40
30.734978,41
33.12921,42
33.695343,43
33.270058,44
33.062546,45
34.266388,46
33.406937,47
31.759277,48
32.24416,49
33.019787,50
33.50856,51
33.70485,52
33.204044,53
34.64585,54
33.7733,55
32.92025,56
34.558903,57
31.9479,58
33.261833,59
31.305298,60
34.4505,61
35.615288,62
32.153458,63
32.103065,64
33.74118,65
31.420921,66
32.17422,67
33.075844,68
32.897926,69
32.73091,70
33.85295,71
31.980455,72
32.68528,73
34.383236,74
32.56337,75
33.655502,76
32.78911,77
33.72857,78
31.606524,79
33.32967,80
33.015514,81
31.432154,82
32.601894,83
33.36531,84
32.663208,85
34.02043,86
31.47151,87
33.732758,88
31.261599,89
35.08259,90
34.602448,91
33.287014,92
35.586483,93
32.182144,94
32.71426,95
32.11705,96
34.791267,97
33.34987,98
32.0002,99
32.776524,100
32.524593,101
33.480934,102
34.425682,103
32.512077,104
32.222305,105
33.10649,106
32.37972,107
33.31856,108
33.640347,109
34.85215,110
32.905903,111
32.20498,112
32.806442,113
32.540108,114
31.308043,115
32.96889,116
33.66346,117
31.751192,118
34.0262,119
33.835228,120
33.529507,121
33.158905,122
34.18914,123
33.188293,124
33.737698,125
31.92875,126
35.137947,127
32.50546,128
34.658207,129
32.775036,130
32.54093,131
33.032406,132
32.45852,133
33.119213,134
34.3342,135
31.17432,136
31.306416,137
32.54517,138
34.131523,139
33.13165,140
32.58776,141
32.88955,142
34.017742,143
34.074238,144
32.355114,145
32.953884,146
33.874634,147
32.624847,148
33.799473,149
32.0177,150
32.26068,151
32.540836,152
31.984941,153
32.572205,154
33.425625,155
32.161797,156
32.673016,157
33.891384,158
33.83759,159
32.602745,160
34.50116,161
34.101093,162
31.847048,163
33.54567,164
31.88341,165
32.262512,166
32.237343,167
33.796757,168
32.158558,169
31.240936,170
31.108397,171
34.288902,172
35.40384,173
35.069458,174
35.34365,175
32.166527,176
33.073345,177
33.732136,178
30.821926,179
33.403492,180
34.985294,181
33.34821,182
32.646965,183
34.953857,184
32.387867,185
