psnrs,iters
24.517757,0
25.272087,1
24.321869,2
22.203045,3
24.932262,4
23.816837,5
24.928873,6
24.760925,7
24.59797,8
24.063833,9
25.409985,10
23.941412,11
25.407698,12
25.02614,13
25.001465,14
24.940517,15
23.999975,16
22.959316,17
24.182419,18
24.252983,19
24.434376,20
24.681477,21
24.589117,22
23.53027,23
25.51831,24
22.980349,25
24.716808,26
23.826387,27
25.211155,28
24.65918,29
25.564617,30
24.634974,31
23.341698,32
22.515955,33
26.463814,34
25.27396,35
25.826447,36
28.07926,37
24.549616,38
23.924646,39
26.004898,40
23.676086,41
23.988373,42
24.363308,43
25.166298,44
24.698006,45
26.133183,46
24.611055,47
26.273453,48
24.539602,49
25.895388,50
25.143452,51
22.659542,52
26.167892,53
23.500355,54
24.365307,55
23.298351,56
23.548916,57
26.369652,58
26.529793,59
24.58393,60
25.275265,61
24.679966,62
24.66285,63
25.157417,64
23.897552,65
24.697733,66
24.615496,67
25.903233,68
21.881859,69
26.145765,70
24.727638,71
24.81946,72
23.625645,73
25.684166,74
24.483488,75
25.533314,76
23.58432,77
24.835014,78
23.749268,79
22.050518,80
25.843307,81
23.640942,82
24.041172,83
22.559307,84
25.334084,85
24.178694,86
24.958563,87
25.092735,88
25.257729,89
25.487064,90
24.61381,91
25.361858,92
26.617512,93
23.618156,94
25.00251,95
25.274853,96
24.999096,97
24.447319,98
25.119328,99
23.815489,100
25.90778,101
24.459095,102
23.56529,103
23.72229,104
24.717266,105
23.809013,106
25.59245,107
25.033102,108
25.131878,109
26.469246,110
27.39426,111
26.481287,112
24.483702,113
26.231636,114
25.501522,115
25.287193,116
22.817781,117
25.199451,118
26.659012,119
24.473953,120
26.7403,121
25.008337,122
24.136412,123
23.703259,124
25.21484,125
23.6685,126
24.02404,127
27.250526,128
24.03723,129
25.73891,130
25.539358,131
23.943527,132
23.900671,133
25.996454,134
23.90886,135
23.38713,136
25.508337,137
24.11112,138
25.177216,139
25.710337,140
24.750233,141
24.593742,142
23.761986,143
23.98062,144
25.530617,145
25.326225,146
23.072855,147
24.03872,148
25.34561,149
23.876892,150
23.76177,151
25.542198,152
23.849897,153
24.8303,154
25.550014,155
23.970697,156
24.852901,157
25.566696,158
24.26971,159
24.381353,160
25.633656,161
26.214607,162
24.00779,163
26.171911,164
24.36087,165
25.564955,166
23.27607,167
25.839588,168
26.230831,169
24.716454,170
23.94274,171
23.772842,172
24.196533,173
25.221395,174
27.288654,175
25.614616,176
27.02566,177
24.448105,178
23.779282,179
23.231564,180
23.93881,181
24.00324,182
24.490921,183
24.57535,184
24.700695,185
25.297945,186
27.516773,187
23.976685,188
25.224268,189
23.710083,190
24.221092,191
24.905552,192
24.424295,193
25.606632,194
25.559399,195
23.225899,196
24.550804,197
25.946024,198
25.913483,199
24.634607,200
25.3255,201
25.359722,202
24.491276,203
25.522097,204
26.726362,205
26.396744,206
25.843756,207
24.480333,208
22.878689,209
26.615574,210
24.940012,211
25.096764,212
23.926039,213
26.052296,214
25.38848,215
26.208328,216
24.029854,217
27.189468,218
23.129835,219
25.092178,220
24.884018,221
23.640835,222
24.215038,223
23.486885,224
25.123001,225
26.038727,226
23.147297,227
22.621422,228
25.669476,229
24.633503,230
25.928762,231
24.441593,232
25.102707,233
23.973845,234
23.813557,235
26.131628,236
24.437664,237
25.499569,238
25.321682,239
24.674074,240
25.385084,241
28.525507,242
24.452702,243
22.699184,244
23.946636,245
24.173212,246
26.982094,247
25.390732,248
26.651329,249
25.681606,250
25.071472,251
22.881657,252
24.748436,253
25.68613,254
24.191475,255
25.086754,256
23.792671,257
25.12749,258
24.860783,259
26.988752,260
25.149338,261
26.371395,262
24.457405,263
24.234158,264
24.784763,265
22.98003,266
23.965168,267
23.438835,268
26.349527,269
24.146517,270
24.691755,271
24.535065,272
23.936768,273
25.18636,274
24.898241,275
24.20824,276
26.539642,277
25.493057,278
22.583189,279
25.252344,280
25.343498,281
25.524073,282
23.644274,283
24.545105,284
26.004896,285
22.96385,286
25.285969,287
24.482347,288
24.195242,289
22.857637,290
24.61936,291
24.7109,292
26.83723,293
25.48454,294
25.501282,295
26.156715,296
25.195171,297
25.713993,298
25.02656,299
25.493467,300
23.837685,301
22.878483,302
25.312979,303
25.42877,304
23.922178,305
23.242046,306
27.184338,307
23.554804,308
23.423847,309
25.660957,310
24.868439,311
25.500603,312
24.725681,313
26.194838,314
23.821327,315
23.869263,316
24.47503,317
24.265495,318
24.118164,319
24.754093,320
25.091427,321
23.93288,322
24.93885,323
25.386106,324
24.886425,325
24.951206,326
23.990147,327
26.425674,328
26.08995,329
25.750717,330
26.642143,331
26.30229,332
23.369572,333
26.538254,334
24.936705,335
28.171219,336
24.923609,337
24.625685,338
24.432535,339
25.343283,340
23.656414,341
23.994963,342
26.196558,343
23.5038,344
26.055239,345
26.127384,346
26.30966,347
25.121374,348
24.838945,349
25.618416,350
24.362167,351
24.55793,352
25.271118,353
25.239155,354
23.664673,355
24.930042,356
26.956665,357
25.536339,358
27.671333,359
24.533825,360
25.261457,361
25.375675,362
24.012096,363
26.097542,364
26.210146,365
25.633566,366
24.601355,367
24.751259,368
26.116734,369
24.222738,370
25.560879,371
26.907982,372
25.286768,373
24.909914,374
27.43706,375
24.299267,376
24.032822,377
26.796759,378
26.76628,379
24.45819,380
25.144814,381
25.851631,382
24.164116,383
24.628141,384
25.839386,385
23.11744,386
22.917313,387
23.930607,388
24.060726,389
24.189634,390
23.640472,391
24.25953,392
24.741976,393
23.829876,394
24.331911,395
24.079063,396
25.093863,397
23.024233,398
24.96254,399
24.481712,400
24.468605,401
22.953062,402
25.462612,403
26.204094,404
24.899494,405
25.226147,406
24.88913,407
25.180807,408
25.282436,409
24.526669,410
25.78519,411
23.551327,412
25.018446,413
24.456127,414
25.139275,415
24.756153,416
24.126654,417
25.0242,418
24.824833,419
22.707848,420
25.70058,421
24.310753,422
24.801422,423
25.129318,424
25.55877,425
24.86507,426
25.198265,427
24.50373,428
23.43564,429
23.631126,430
24.678543,431
25.631523,432
25.975714,433
25.37003,434
25.524132,435
24.534447,436
24.730045,437
26.359632,438
26.837118,439
26.046638,440
25.301636,441
25.105627,442
24.395988,443
25.836857,444
24.636127,445
22.512808,446
25.039696,447
25.209332,448
27.845623,449
26.498117,450
24.789028,451
26.260075,452
24.161297,453
25.423023,454
26.092722,455
26.292097,456
23.90277,457
25.650732,458
22.678835,459
23.942709,460
24.214169,461
25.275288,462
24.380154,463
26.451115,464
21.874277,465
24.487648,466
25.143747,467
25.327229,468
24.169008,469
22.523373,470
25.502836,471
24.50066,472
26.381138,473
25.372076,474
27.069729,475
25.328836,476
23.03757,477
24.065302,478
26.843601,479
25.54969,480
24.550358,481
26.099606,482
24.85923,483
24.97908,484
23.261097,485
25.15808,486
23.449234,487
25.933065,488
26.29631,489
24.400002,490
24.861034,491
25.149857,492
23.362913,493
25.45607,494
25.834105,495
27.169537,496
25.014181,497
26.302631,498
24.861805,499
24.345612,500
26.737522,501
24.9552,502
26.462769,503
23.334093,504
24.78199,505
25.230896,506
24.97702,507
27.735155,508
26.24073,509
25.48841,510
25.599838,511
26.578438,512
25.924952,513
24.446095,514
23.5066,515
23.800707,516
24.289238,517
24.319939,518
23.519775,519
25.415602,520
25.303017,521
26.002197,522
26.69801,523
24.737799,524
25.467384,525
24.821531,526
23.075542,527
24.349937,528
23.734417,529
25.333008,530
25.397999,531
24.713251,532
24.601833,533
24.362091,534
24.449022,535
24.33788,536
24.233942,537
25.257635,538
24.823254,539
25.496817,540
24.662716,541
23.665382,542
24.165527,543
26.152885,544
25.141745,545
24.964178,546
25.49814,547
25.133675,548
26.552547,549
23.296833,550
23.11722,551
25.427591,552
25.350845,553
25.677488,554
22.785418,555
24.264582,556
23.976145,557
24.368519,558
25.040176,559
24.994682,560
24.010096,561
25.17944,562
25.142387,563
25.851326,564
24.648912,565
24.780504,566
24.555183,567
24.668882,568
26.275414,569
24.822083,570
24.133533,571
23.923666,572
24.429615,573
25.808783,574
27.02955,575
25.390741,576
23.934483,577
24.109278,578
24.122616,579
23.843094,580
23.520079,581
25.802305,582
26.337347,583
23.753195,584
23.955593,585
25.499264,586
24.374004,587
24.846945,588
23.9585,589
25.8297,590
25.344204,591
25.563179,592
25.523565,593
25.771923,594
24.35921,595
23.39771,596
26.144787,597
24.55936,598
22.66998,599
25.861515,600
23.974495,601
27.381018,602
26.37215,603
25.600372,604
25.790808,605
23.28931,606
25.645359,607
25.454445,608
25.778524,609
24.659714,610
26.058596,611
24.932632,612
24.817373,613
25.322334,614
23.931252,615
25.536144,616
25.224379,617
25.669025,618
22.828829,619
23.328344,620
24.779144,621
25.840723,622
26.084938,623
25.769053,624
25.288052,625
24.546661,626
24.574728,627
23.45844,628
24.250027,629
25.638067,630
24.359123,631
25.425373,632
23.805998,633
24.072306,634
24.110718,635
23.793617,636
24.908808,637
24.35438,638
24.652275,639
25.231066,640
25.232971,641
25.933363,642
25.62033,643
24.784193,644
24.28799,645
24.418606,646
25.28146,647
25.861923,648
26.67578,649
23.882217,650
24.164677,651
24.93792,652
25.747654,653
25.421293,654
24.532543,655
26.97343,656
23.568409,657
23.181396,658
24.014675,659
24.627905,660
24.941078,661
22.21363,662
25.979382,663
24.910507,664
23.455841,665
25.416206,666
25.198181,667
24.099041,668
25.63114,669
24.270271,670
24.56049,671
23.715904,672
23.453989,673
24.725792,674
