psnrs,iters
12.50386,0
11.290816,1
11.466883,2
11.186226,3
11.888397,4
11.294284,5
12.477326,6
10.872015,7
11.963451,8
12.295004,9
12.172964,10
12.394964,11
11.582901,12
11.7563715,13
12.984366,14
11.903078,15
12.85692,16
12.1005335,17
12.297218,18
12.418581,19
12.592763,20
12.049967,21
12.79372,22
13.016128,23
12.518551,24
12.443802,25
13.036411,26
13.053982,27
13.727978,28
12.629789,29
13.112382,30
12.638992,31
12.376598,32
11.918781,33
13.185013,34
12.771614,35
12.33406,36
13.022221,37
12.70349,38
12.729845,39
12.51528,40
12.592171,41
13.343524,42
12.843721,43
13.223898,44
13.105559,45
13.239833,46
13.108761,47
13.82999,48
13.1438465,49
13.6915245,50
13.763467,51
13.048124,52
13.968603,53
13.526626,54
13.062117,55
13.961628,56
13.468775,57
14.066658,58
13.3045845,59
13.785143,60
13.696453,61
13.914151,62
13.950363,63
13.586428,64
13.322224,65
13.886069,66
13.419956,67
14.041758,68
13.703221,69
14.162704,70
14.433674,71
13.914947,72
13.796731,73
13.954381,74
14.23253,75
14.124042,76
14.206266,77
14.164173,78
14.876411,79
14.577946,80
14.6399,81
14.116108,82
14.198541,83
13.092271,84
14.9467125,85
14.108795,86
14.145582,87
14.131561,88
14.40493,89
14.192477,90
14.493293,91
14.210076,92
14.842207,93
14.060574,94
14.833174,95
14.20059,96
14.127132,97
14.674759,98
13.985386,99
14.36141,100
14.76004,101
14.072556,102
14.663105,103
13.842228,104
13.9551935,105
15.023174,106
13.4796095,107
14.420539,108
14.472553,109
14.232472,110
14.256743,111
14.505678,112
14.045316,113
14.166708,114
14.199415,115
13.341941,116
14.299253,117
14.9247,118
15.482062,119
13.762417,120
14.381753,121
14.299995,122
15.02419,123
14.161575,124
14.223848,125
14.409895,126
14.632588,127
14.435234,128
14.367807,129
14.160529,130
14.912614,131
14.596609,132
14.666159,133
14.990484,134
13.9799595,135
14.646574,136
15.270567,137
14.279157,138
15.005278,139
13.682842,140
14.118499,141
14.707003,142
14.306549,143
14.335739,144
13.923348,145
14.227087,146
14.4975605,147
14.320448,148
14.741064,149
15.624613,150
14.340719,151
15.468086,152
14.813605,153
14.549242,154
14.545804,155
15.170307,156
14.406839,157
14.928226,158
15.231418,159
14.512897,160
14.236054,161
14.152447,162
14.398985,163
14.612383,164
14.348576,165
15.964294,166
14.196949,167
14.891125,168
15.448435,169
14.460697,170
14.41481,171
14.729186,172
14.774624,173
14.850245,174
14.89827,175
14.987946,176
14.800327,177
15.5303135,178
14.801946,179
14.412794,180
14.1982155,181
14.815598,182
15.114164,183
14.769453,184
15.136131,185
15.247594,186
14.8434925,187
14.626399,188
14.713797,189
14.28792,190
15.231647,191
15.11897,192
14.70158,193
14.437667,194
14.776136,195
14.97406,196
14.831405,197
15.353852,198
15.434351,199
14.899307,200
14.454649,201
15.477701,202
15.050034,203
15.089348,204
14.824821,205
15.565559,206
15.192535,207
15.468168,208
15.855049,209
15.585958,210
15.630807,211
14.529579,212
15.047895,213
14.470244,214
14.820891,215
15.460194,216
14.998018,217
16.255419,218
14.553901,219
15.320157,220
14.824825,221
15.184249,222
15.291073,223
16.20847,224
14.785824,225
14.994278,226
14.390663,227
15.328745,228
15.798792,229
14.265591,230
15.682545,231
15.902964,232
15.309685,233
15.06205,234
15.46764,235
15.003866,236
14.262852,237
15.443712,238
16.19859,239
14.976087,240
15.455318,241
15.251676,242
15.297227,243
15.332861,244
14.688959,245
15.103476,246
16.003357,247
15.312375,248
15.545971,249
14.985365,250
15.623183,251
14.96599,252
15.40763,253
16.305483,254
15.081961,255
15.5437765,256
15.642047,257
16.387693,258
16.23116,259
16.224014,260
15.929279,261
15.569775,262
15.348194,263
15.00483,264
15.17557,265
14.611782,266
15.07147,267
15.780601,268
15.118546,269
15.78148,270
16.136528,271
15.15918,272
15.622774,273
15.570211,274
16.466919,275
15.711166,276
16.167555,277
15.862316,278
15.392962,279
15.3986025,280
15.85945,281
16.238377,282
15.103394,283
16.028996,284
15.729619,285
15.926814,286
15.7374325,287
16.071007,288
15.097296,289
14.448727,290
15.7826605,291
15.77359,292
15.091687,293
15.105058,294
15.456322,295
16.231873,296
15.561155,297
15.561678,298
15.721513,299
15.836343,300
15.556822,301
15.161371,302
15.4704,303
15.936509,304
16.72775,305
15.283714,306
15.004185,307
16.23168,308
16.096874,309
15.678382,310
15.372545,311
15.772828,312
15.978384,313
16.55395,314
15.360579,315
14.287643,316
16.013268,317
16.105093,318
16.184383,319
15.343223,320
16.738798,321
15.777727,322
16.176361,323
14.7508955,324
15.466562,325
16.094051,326
15.649238,327
15.531292,328
15.973427,329
16.100481,330
16.172642,331
16.217266,332
15.02883,333
16.381912,334
17.20504,335
16.251297,336
15.446149,337
15.961896,338
14.768777,339
15.626302,340
15.609859,341
15.784675,342
15.967151,343
16.031908,344
14.320159,345
15.426126,346
15.849335,347
16.546263,348
16.089138,349
15.249037,350
15.018776,351
16.228565,352
15.460353,353
15.660707,354
16.082077,355
15.201598,356
15.505789,357
15.70098,358
16.575306,359
17.41783,360
15.586654,361
16.945421,362
16.314125,363
16.170704,364
16.004974,365
15.604578,366
15.986879,367
16.203905,368
15.994349,369
14.813362,370
16.004986,371
17.238697,372
17.074383,373
15.707091,374
16.593246,375
16.523577,376
15.491501,377
16.231081,378
15.960329,379
15.281105,380
16.52573,381
15.395901,382
15.6144285,383
16.889349,384
15.402384,385
16.864544,386
15.646373,387
15.685434,388
15.219328,389
14.964849,390
16.722633,391
16.423405,392
16.25429,393
15.3017845,394
15.85569,395
