psnrs,iters
24.523544,0
25.282093,1
24.31942,2
22.207792,3
24.93086,4
23.813112,5
24.925613,6
24.780237,7
24.600973,8
24.07071,9
25.590279,10
23.941235,11
25.412834,12
25.018938,13
25.041945,14
24.943539,15
24.00511,16
22.961185,17
24.174385,18
24.253464,19
24.244823,20
24.691143,21
24.585894,22
23.55076,23
25.517952,24
22.978611,25
24.71287,26
23.8202,27
25.20847,28
24.664803,29
25.562767,30
24.634153,31
23.345684,32
22.435247,33
26.46472,34
25.320404,35
25.829948,36
28.080791,37
24.555141,38
23.926332,39
26.006432,40
23.675285,41
23.9893,42
24.35401,43
25.170097,44
24.700611,45
26.104332,46
24.612137,47
26.274998,48
24.53739,49
25.993355,50
25.146076,51
22.664175,52
26.172436,53
23.500765,54
24.371101,55
23.302858,56
23.550032,57
26.375233,58
26.532646,59
24.55331,60
25.27506,61
24.687292,62
24.661161,63
25.160858,64
23.902374,65
24.570314,66
24.619772,67
25.901348,68
21.885035,69
26.139898,70
24.730152,71
24.774944,72
23.62832,73
25.68529,74
24.482737,75
25.453474,76
23.58966,77
24.815168,78
23.731499,79
22.051699,80
25.846197,81
23.64148,82
24.040314,83
22.560326,84
25.340446,85
24.179316,86
24.957127,87
25.298674,88
25.268414,89
25.486105,90
24.61548,91
25.367567,92
26.617517,93
23.621078,94
25.005966,95
25.275692,96
25.002375,97
24.454868,98
25.124588,99
23.826973,100
25.90151,101
24.47073,102
23.553032,103
23.717756,104
24.670666,105
23.81605,106
25.58992,107
25.036907,108
25.15007,109
26.47437,110
27.400024,111
26.478699,112
24.459532,113
26.232094,114
25.498388,115
25.28303,116
22.81851,117
25.18779,118
26.660631,119
24.473484,120
26.743956,121
25.008553,122
24.134521,123
23.701595,124
25.213306,125
23.667732,126
24.025976,127
27.25958,128
24.03143,129
25.741117,130
25.544931,131
23.940956,132
23.901873,133
25.999014,134
23.907202,135
23.388653,136
25.509823,137
24.112587,138
25.181236,139
25.717396,140
24.716526,141
24.59293,142
23.76148,143
23.980373,144
25.534191,145
25.247557,146
23.076023,147
24.035744,148
25.343534,149
23.880383,150
23.779373,151
25.556421,152
23.850927,153
24.83332,154
25.550394,155
23.975548,156
24.858292,157
25.563293,158
24.2682,159
24.382797,160
25.629328,161
26.219347,162
24.007816,163
26.17491,164
24.345858,165
25.582582,166
23.278316,167
26.005508,168
26.236652,169
24.71484,170
23.941055,171
23.772812,172
24.284962,173
25.220278,174
27.281645,175
25.617695,176
27.030306,177
24.450256,178
23.779575,179
23.284147,180
23.934288,181
24.007862,182
24.489769,183
24.323378,184
24.70399,185
25.296444,186
27.513687,187
23.97889,188
25.224274,189
23.704296,190
24.222717,191
24.90779,192
24.428268,193
25.608675,194
25.560135,195
23.225574,196
24.55102,197
25.94509,198
25.910805,199
24.636557,200
25.301994,201
25.321571,202
24.490063,203
25.519402,204
26.736277,205
26.081608,206
25.845764,207
24.479073,208
22.88005,209
26.621746,210
24.9477,211
25.094072,212
23.929394,213
26.052319,214
25.545177,215
26.059372,216
24.052631,217
27.188044,218
23.133636,219
25.116352,220
24.881811,221
23.55427,222
24.217928,223
